BR	ts	chi2	CLs	CLb	CLsb	CLs_exp_b_med	CLs_exp_b_p1	CLs_exp_b_p2	CLs_exp_b_m1	CLs_exp_b_m2	CLb_exp_s_med	CLb_exp_s_p1	CLb_exp_s_p2	CLb_exp_s_m1	CLb_exp_s_m2
3.701	-6.09545391301	0.0	0.161094249557	0.987124	0.15902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3.801	-5.94036689008	0.0	0.14653289183	0.986932	0.144618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3.901	-5.77697478456	0.0	0.1312161891	0.986738	0.129476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.001	-5.60554314221	0.0	0.119276690873	0.986798	0.117702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.101	-5.42632382745	0.0	0.107316292117	0.986784	0.105898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.201	-5.23955598608	0.0	0.0966465150873	0.986854	0.095376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.301	-5.04546692231	0.0	0.0868604736002	0.986824	0.085716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.401	-4.84427289946	0.0	0.0774874375935	0.986276	0.076424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.501	-4.63617987227	0.0	0.068607835625	0.986622	0.06769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.601	-4.42138415773	0.0	0.0621182254022	0.986184	0.06126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.701	-4.20007305094	0.0	0.054177340481	0.986058	0.053422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.801	-3.97242539111	0.0	0.0490939512245	0.98615	0.048414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
