0 452
0.000001 452
112.094 452.158
135.682 445.899
182.915 443.813
253.747 437.554
324.613 437.554
360.012 431.295
395.412 425.036
454.421 416.691
513.442 410.432
548.83 402.086
584.195 389.568
631.428 387.482
702.249 379.137
725.837 372.878
773.047 366.619
820.223 354.101
855.634 349.928
879.21 341.583
973.631 329.065
1009 316.547
1044.37 306.115
1115.19 297.77
1138.77 289.424
1197.76 276.906
1244.96 268.561
1303.98 262.302
1374.82 258.129
1445.65 251.871
1492.87 247.698
1551.89 241.439
1587.31 237.266
1646.35 235.18
1729.04 237.266
1811.68 231.007
1988.85 231.007
2106.93 226.835
2272.29 226.835
2331.33 224.748
2390.38 222.662
2437.63 224.748
2543.94 226.835
2638.4 220.576
2673.82 218.489
2780.13 220.576
2862.77 214.317
2969.08 216.403
3087.18 214.317
3228.9 212.23
3287.41 112.086
3287.41 0
