X	DeltaChi2
2.82485875706e-05	11.8767351351
0.0141525423729	10.8334620554
0.0282768361582	10.4262641449
0.0424011299435	10.0704122542
0.0565254237288	9.38993008362
0.0706497175141	8.98801881095
0.0847740112994	8.58947658073
0.0988983050847	7.9818116556
0.11302259887	7.82674146765
0.127146892655	7.28027955987
0.141271186441	6.86745867182
0.155395480226	6.6601152689
0.169519774011	6.25688234977
0.183644067797	6.08395064377
0.197768361582	5.99473397433
0.211892655367	5.47141899795
0.226016949153	4.89362592645
0.240141242938	4.63037345497
0.254265536723	4.54682671492
0.268389830508	4.386441594
0.282514124294	4.02762938833
0.296638418079	3.77240923868
0.310762711864	3.67648528485
0.32488700565	3.43324902197
0.339011299435	3.03826832207
0.35313559322	2.88534526269
0.367259887006	2.74962452562
0.381384180791	2.59276681683
0.395508474576	2.39217090043
0.409632768362	2.26370995
0.423757062147	2.0565470053
0.437881355932	1.85517471286
0.452005649718	1.80254762385
0.466129943503	1.59277247595
0.480254237288	1.45135826955
0.494378531073	1.40385120946
0.508502824859	1.30757080571
0.522627118644	1.16304993608
0.536751412429	1.00010398331
0.550875706215	0.9131940767
0.565	0.743700310093
0.579124293785	0.652622247484
0.593248587571	0.736232971059
0.607372881356	0.688686696321
0.621497175141	0.526953452898
0.635621468927	0.462947990725
0.649745762712	0.449484774531
0.663870056497	0.337174079083
0.677994350282	0.263193908654
0.692118644068	0.300874222076
0.706242937853	0.199120501558
0.720367231638	0.135931770792
0.734491525424	0.186749848707
0.748615819209	0.129317765061
0.762740112994	0.145215953657
0.77686440678	0.168585557367
0.790988700565	0.0599786086994
0.80511299435	0.0129945259336
0.819237288136	-0.0
0.833361581921	0.0801592167675
0.847485875706	0.119863501503
0.861610169492	0.114394368294
0.875734463277	0.0492591437473
0.889858757062	0.0155920412719
0.903983050847	0.142998590244
0.918107344633	0.195451820376
0.932231638418	0.19848749
0.946355932203	0.179840511098
0.960480225989	0.235666368982
0.974604519774	0.183229385038
0.988728813559	0.215521851892
1.00285310734	0.325068200617
1.01697740113	0.378987927146
1.03110169492	0.386204894125
1.0452259887	0.425236001931
1.05935028249	0.558604084229
1.07347457627	0.537873041674
1.08759887006	0.612831676492
1.10172316384	0.637430498142
1.11584745763	0.640191240826
1.12997175141	0.808753563393
1.1440960452	0.855583530236
1.15822033898	0.913737013923
1.17234463277	0.964607020167
1.18646892655	1.05392833867
1.20059322034	1.17075351235
1.21471751412	1.12648027484
1.22884180791	1.18666515282
1.24296610169	1.29789673632
1.25709039548	1.48046183725
1.27121468927	1.56889574352
1.28533898305	1.54927610416
1.29946327684	1.67938970591
1.31358757062	1.87776229667
1.32771186441	1.85242338194
1.34183615819	1.90075613827
1.35596045198	2.05350444897
1.37008474576	2.04982753654
1.38420903955	2.26566611423
1.39833333333	2.51166768985
1.41245762712	2.43392287146
1.4265819209	2.39634507889
1.44070621469	2.6520981572
1.45483050847	2.74600174634
1.46895480226	2.72149466732
1.48307909605	2.87470179289
1.49720338983	3.13536435246
1.51132768362	3.18997144985
1.5254519774	3.23944141062
1.53957627119	3.41009804588
1.55370056497	3.36797808969
1.56782485876	3.54948064149
1.58194915254	3.88992991166
1.59607344633	3.90845229087
1.61019774011	3.98094787166
1.6243220339	4.05399389754
1.63844632768	4.07498687401
1.65257062147	4.17366664716
1.66669491525	4.5579905731
1.68081920904	4.78037599103
1.69494350282	4.79796956977
1.70906779661	4.659605195
1.7231920904	4.96437610289
1.73731638418	5.14139399034
1.75144067797	4.94934357568
1.76556497175	5.41478267145
1.77968926554	5.42857582957
1.79381355932	5.47318734459
1.80793785311	5.6000836508
1.82206214689	5.66133245636
1.83618644068	6.07317540063
1.85031073446	6.30322669407
1.86443502825	6.38945284264
1.87855932203	6.80968660247
1.89268361582	6.40771780977
1.9068079096	6.3153194417
1.92093220339	6.74015861831
1.93505649718	6.89428070987
1.94918079096	7.05151786929
1.96330508475	7.30444240175
1.97742937853	7.48228598038
1.99155367232	7.33338002399
2.0056779661	7.72329423192
2.01980225989	7.63013035014
2.03392655367	7.94494425218
2.04805084746	8.21157220756
2.06217514124	7.97871328158
2.07629943503	8.10655231701
2.09042372881	8.4991121351
2.1045480226	8.94740827858
2.11867231638	8.6405431847
2.13279661017	9.15924631635
2.14692090395	9.28608996922
2.16104519774	8.96761047126
2.17516949153	9.89345479682
2.18929378531	9.05052389791
2.2034180791	9.02947107194
2.21754237288	10.6723843303
2.23166666667	10.5793442991
2.24579096045	10.2165960222
2.25991525424	9.42790590807
2.27403954802	10.0970201854
2.28816384181	11.328731198
2.30228813559	11.2162517613
2.31641242938	11.0370274439
2.33053672316	11.6123915888
2.34466101695	11.1852433882
2.35878531073	10.8464070843
2.37290960452	11.3453288043
2.38703389831	11.7708903321
2.40115819209	12.2588456086
2.41528248588	11.2477484752
2.42940677966	11.8985932761
2.44353107345	13.3069873096
2.45765536723	12.8696089077
2.47177966102	12.2068946358
2.4859039548	11.6703666626
2.50002824859	12.8696089077
2.51415254237	15.0314343308
2.52827683616	13.2200170857
2.54240112994	12.5109270504
2.55652542373	13.3069873096
2.57064971751	15.7904135742
2.5847740113	12.7652374013
2.59889830508	13.0566610237
2.61302259887	15.3751348454
2.62714689266	17.028491991
2.64127118644	16.3151421032
2.65539548023	13.9888404836
2.66951977401	14.2559032688
2.6836440678	20.9203122891
2.69776836158	13.4449730526
2.71189265537	13.3069873096
2.74014124294	16.5258631345
2.75426553672	13.9272971662
2.76838983051	20.9203122891
2.78251412429	16.1245217435
2.79663841808	14.928847742
