0 573.022
0.0000001 573.022
35.5731 573.054
71.1462 571.287
102.767 567.718
130.435 567.743
158.103 565.97
189.723 565.998
209.486 566.016
241.107 566.044
260.87 564.263
292.49 562.493
328.063 558.928
347.826 553.55
375.494 546.381
395.257 544.6
422.925 539.229
470.356 530.279
490.119 524.901
509.881 519.523
529.644 512.347
549.407 506.969
573.123 499.796
600.791 492.627
624.506 487.252
648.221 476.482
667.984 469.306
691.7 453.14
715.415 442.37
743.083 424.409
758.893 415.431
770.751 404.65
786.561 395.671
802.372 386.693
822.134 375.919
849.802 359.757
865.613 348.98
885.375 336.408
897.233 327.426
913.043 318.447
940.711 311.278
988.142 296.932
1007.91 291.554
1035.57 284.385
1059.29 279.01
1102.77 275.452
1130.43 271.88
1169.96 270.117
1197.63 266.545
1237.15 262.983
1272.73 259.418
1312.25 255.856
1343.87 254.086
1383.4 246.928
1434.78 241.578
1478.26 238.02
1513.83 234.455
1549.41 234.487
1581.03 229.12
1608.7 227.346
1648.22 225.583
1687.75 223.82
1727.27 223.855
1782.61 222.107
1814.23 220.337
1845.85 220.365
1873.52 220.39
1905.14 218.62
1940.71 218.652
1968.38 218.677
1996.05 213.306
2003.95 213.313
